month,day_of_month,hour,carbon_kg_kwh
2,20,3,0.1317
2,20,4,0.131
2,20,5,0.136
2,20,6,0.1429
2,20,7,0.1438
2,20,8,0.1521
2,20,9,0.1539
2,20,10,0.1607
2,20,11,0.1583
2,20,12,0.1545
2,20,13,0.1488
2,20,14,0.1419
2,20,15,0.141
2,20,16,0.1456
2,20,17,0.1581
2,20,18,0.1631
2,20,19,0.1614
2,20,20,0.1579
2,20,21,0.1575
2,20,22,0.1416
2,20,23,0.1328
2,21,0,0.1338
2,21,1,0.1304
2,21,2,0.1304
2,21,3,0.1297
2,21,4,0.13
2,21,5,0.1332
2,21,6,0.1379
2,21,7,0.1406
2,21,8,0.1466
2,21,9,0.1489
2,21,10,0.1489
2,21,11,0.1466
2,21,12,0.1471
2,21,13,0.1459
2,21,14,0.1426
2,21,15,0.1424
2,21,16,0.1473
2,21,17,0.1646
2,21,18,0.173
2,21,19,0.1731
2,21,20,0.1683
2,21,21,0.1617
2,21,22,0.1522
2,21,23,0.1452
2,22,0,0.1339
2,22,1,0.133
2,22,2,0.1358
2,22,3,0.1376
2,22,4,0.1353
2,22,5,0.143
2,22,6,0.1654
2,22,7,0.1762
2,22,8,0.1881
2,22,9,0.1923
2,22,10,0.1826
2,22,11,0.1712
2,22,12,0.1709
2,22,13,0.17
2,22,14,0.1722
2,22,15,0.1733
2,22,16,0.1802
2,22,17,0.1889
2,22,18,0.1971
2,22,19,0.1995
2,22,20,0.1939
2,22,21,0.1883
2,22,22,0.1696
2,22,23,0.1628
2,23,0,0.1538
2,23,1,0.1501
2,23,2,0.148
